,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n,Edom,,,"Edom was a country where the descendents of Esau settled. It was southeast of the land of Israel, south of the Dead Sea. Edomites worshipped false gods and became enemies of Israel. Edom means ""red"".",,,GC 15-Feb-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Egypt ,"Egyptians, Egyptian",Misra (W from Arabic),Egypt is a country to the southwest of Israel. The Israelites lived about four hundred years in Egypt where they became slaves. Egypt was almost always an enemy of Israel.,,"Arabic ref.
JB: the original had: ""Egypt ruled over the land of Israel for hundreds of years."" But when? So I changed it to ""enemy.""",,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,elder,elders,"older men (G); leaders (W)
","Elders are older people whom others respect and obey. Elders often meet as a council that decides important matters. Churches have elders who are called overseers and servants, or pastors and deacons.",leader,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Eli,,,"Eli was a Jewish priest and for forth years was also the leader of Israel, called a judge. He served God at the tabernacle in the town of Shiloh (before Israel had a temple). He had two sons who were also priests, named Hophni and Phineas, but they were wicked. A boy named Samuel was brought to live and work in the tabernacle, so Eli raised him. He was a good person and grew to be a godly man. But God punished Eli's sons for their wickedness when they died in a battle on the same day. When Eli heard the news he fell, broke his neck and died. He was 98 years old. Then Samuel took his place as priest.",,,GC 07-Feb-19  rev'd by CB 2-24,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Elijah,,Ilyass (W),"Elijah lived around 800 years before Jesus. He was a  prophet of God, who boldly rebuked an evil king and all those who worshipped idols in Israel. The Book of Malachi says Elijah must return to prepare  Israel to welcome the coming Messiah appeared. John the Baptizer was like Elijah in many ways. (The name Elijah means the Lord is God.)",Elisha,Arabic ref.,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Elimelech,,,Elimelech was Naomi's husband. He was an Israelite who migrated to the country of Moab where he died. (The name Elimelech means My God is King.),,Elimelek is not a spelling found in any Enlish translation.,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Elisha,,Alyaasa (W),Elisha lived around 800 years before Jesus. He was a prophet of God appointed by the prophet Elijah. Elisha performed more miracles than Elijah did.,Elijah,Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Elkanah,,,"Elkanah was the husband to Hannah and father of the prophet Samuel. (The name Elkanah means ""God created"".) Two other men named Elkanah were in the Old Testament, but they are unimportant and little is known about them.",,,GC 07-Feb-19,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,emperor,emperors,,"An Emperor was the king or highest ruler of an empire, ruling over lesser kings. Some countries considered their emperor to be divine, or a god.","King, Pharaoh, Caesar",,,,,,,,,,,,,,,,,,,,,,,,,,
t,empire,kingdom,"all divisions of his land (G); 
","An empire is an extensive group of multiple cities, states and/or nations over which one supreme ruler (an emperor) has authority. Babylon and Assyria and Rome were examples of empires in Bible times.","nation, country, region, emperor",,"GC 08-Feb-19
RR updated",,,,,,,,,,,,,,,,,,,,,,,,
n,Ephesus,Ephesians,,Ephesus was a big city near the sea in the region of Asia Minor (which is now part of the country of Turkey). The apostle Paul started a church there and later wrote a letter to it. Years later Jesus gave John a message for the church in Ephesus that he wrote in Revelation 2.,,,,"GC 7/7/2019
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
n,Ephraim,,,Ephraim was the younger of Joseph's two sons. Ephraim became an ancestor of a tribe of Israel. (The name Ephraim means Fruitful.),,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Epicureans ,Epicurean,,The Epicureans followed the teachings of the philosopher Epicurus who lived around 300 years before Jesus. He taught that people should seek happiness in life while avoiding pain and fear.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Esau,,Esawu (W),"Esau lived around 1900 years before Jesus. Abraham's son Isaac had twin sons named Esau and Jacob. Esau, who was the firstborn, foolishly sold his birthright to his brother Jacob. (Jacob's decendents became the Israelites, and Esau's decendents became the Edomites.)",Edom,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Esther,,,"Esther was a Jewish orphan reared by her cousin Mordecai. After Persian king Xerses made Esther his new queen, she saved many Jews from death. (The name Esther means star. Her Jewish name Hadassah means myrtle tree.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,eunuch,eunuchs,"castrated; man (R); 
unmarried man, caused to be that way (G); 
chamberlain (W);",A eunuch was a man who had been castrated / immasculated. Pagan nations practiced this kind of mutilation at times on slaves or those to be trained for certain kinds of work such as official government service. It was not a Jewish custom since God's law forbids making men eunuchs.,servant,"take this out:  (Christian ministers who do not get married may be called eunuchs.) Other language examples to euphemistic, better to say: castrated. Chamberlain unknown in PNG. (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
n,Eve,,Awa (W from Arabic),"Eve and Adam were the first two people God created. Eve was the wife of Adam and the first mother of all human beings. When Satan tempted Adam and Eve, they disobeyed God. Since then, all human beings have also been sinning and must die.",Adam,Arabic ref.,"The Bible clearly teaches universal death as a result of our first parents' sin, but not some kind of transmitted sin.",rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,evil,"wicked, sinful, wickedness",,Evil things are everything that God forbids; evil people are those who disobey God's laws; evil spirits are invisible beings that cause people to thnk about evil and to do evil actions.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,faith,"believe, believing, believes, believed, belief, trust","saying yes (to someone or something; agreeing; accepting; trusting as true);
trust; belief (R); belief (W); heart/liver (inner being) hangs on something (PNG)","Faith means (1) to believe truth, (2) to trust in God or Christ, and (3) to remain loyal to Jesus. Under both the Old and New Covenants (Testaments), God counts as righteous those who put their faith in him and his promises.","trust, doubt,
disbelieve",other language: heart/liver (inner being) hangs on smg,"Both the Hebrew 'amn and the Greek pistis include both belief and loyalty, according to their context.",,,,,,,,,,,,,,,,,,,,,,,,
t,fast,,fast (R); ,"To fast means not to eat for a time. Jews used to fast as a sign of repentance, sorrow, or humility before God. Christians sometimes fast as a form of prayer towards God.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,feast,"festival, feasts, festivals, feasted","a magnification (W);  remember (W); 
big meal / food; big day of worship (K); feast (R); 
big dance (festival) / big eating (feast) (G);
","Feasts are special meals with much good food and drinks. Usually a feast is served for a special occaision. The Israelites had feasts for yearly celebrations, when families come together to remember God’s goodness. They had to go to Jerusalem to keep certain feasts.",festival,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Feast of Dedication,"Hannukah, Feast of Lights","purification (W); feast when they remembered the day when they opened the house of giving (R); 
a big day of worship so that they would remember the day when they opened the house of giving (K)
","The Feast of Dedication is a celebration by the Jews. Their enemies had captured their temple, but in the year 165 before Christ, the Jews recaptured the temple and dedicated it back to the Lord. Other names for this feast is Hannukah and the Festival of Lights.",,other language: why house of giving? (Hilkka),,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,Feast of Pentecost,Pentecost,day of Pentikos (R); ,"Pentecost is another name for the Jewish Feast of Weeks. Pentecost means 50 and comes 50 days after the Jewish Passover. It is a celebration at the end of the grain harvest. After Jesus resurrected and ascended to heaven, on the day of Pentecost the Holy Spirit came to live in those who believe in Jesus. That day is considered to be when the Christian church was started.",,,"Astronomy-based calendars, along with better documentary studies, now situate the birth of Jesus around 2 BCE, and his ministry beteen 29 and 33 CE. If this causes indigestion, then remove the date reference.",rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,Feast of Shelters,"Feast of Tabernacles, Feast of Tents",day of worship of the Jews which they call the feast of shelters (R); big days of worship of shelters (K); big day for worship called feast of tents,"At the yearly Feast of Shelters in October or November, Jews rejoice because the harvest has been completed. They stay in temporary shelters for one week, to honour their ancestors who dwelt forty years in shelters while wandering in a wilderness.",,"tabernacle is too techincal, better to say tent  or garden shelter, in Pidgin haus win Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,Feast of the Passover,Passover,feast of go past (R); big day of worship of Go Past (K); ,"During the yearly feast of Passover in March or April, Jews remember how their ancestors escaped from slavery in the country of Egypt. At that time God warned that he would send his angel to kill the eldest son of every house in Egypt, except where they would kill a lamb and smear its blood on their front door post. There where blood was found the angel passed over without harming anyone.",Feast of Unleavened Bread,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Feast of Unleavened Bread,Unleavened Bread,feast of bread no yeast in it (R); big day of worship of bread no yeast in it (K); ,"The yearly feast of Unleavened Bread lasts for the seven days following the Festival of the Passover. During these seven days, the Jews eat bread with no yeast in it, to remember how their ancestors  escaped from Egypt (so fast that they had no time to wait to bake yeast bread).",Passover,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Felix,,,"Felix was the Roman governor over Judea between the years 52 and 60. A dishonest man, he kept Paul in prison at Cesaria for two years. He once became alarmed when he heard Paul explain about God's judgement.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,festival,"feast, festivals, feasts",,"Festivals are special days when people remember their past or honor God. People may eat a meal together as part of a feast. Israel has seven annual feasts, including the Feast of Passover.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Festus,,,"Festus as the Roman governor over Judea in the year 62 after Felix. He kept Paul in prison at Caesarea, until he sent Paul to Rome to be judged by the Caesar, the Roman emperor.",,,,"GC 7/7/2019
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
t,fig,figs,fig (R); ,Fig is a kind of fruit tree. Its fruit is very sweet.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,fool,"foolish, fools, fooled","the one who doesn't really know things (G); 
","A fool is anyone who makes poor, stupid or bad choices, even when others warn him not to. God want fools to repent, to learn wisdom and to obey him. The book of Proverbs often contrasts foolish people and wise people.",wise,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,forgive,"forgiven, forgives, forgiveness",erase (R); put arm around their shoulders (S-I);,"To forgive is to choose not to punish those who have sinned or disobeyed. When forgiven, those who did wrong no longer have guilt or shame for what they had done.","guilt, shame, cleanse, sanctify",,,,,,,,,,,,,,,,,,,,,,,,,,
t,form,"formed, forms",,"To form something means (1) to change its shape to look like something else (e.g. clay can be formed to look like an image of something), or (2) to bring people together in a new group.","carve,
 build,
",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,fox,foxes,fox (G); ,"A fox is a wild animal like a small dog with beautiful fur, a bushy tail and sharp teeth.  Foxes hunt and eat small animals like rats, mice, snakes and rabbits.  Some cultures use the fox in a metaphorical way to describe attributes like beauty, cunning, wise or tricky.  For example, if a woman is beautiful, she might be called a fox.  King Herod was called a fox, meaning Herod was wiley or dangerously tricky.",,,modified by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
t,frankincense,,"sticky substance whose smoke smells good (R); 
 powder cooked/burned and its smoke smells good and it is called insens (K)","Frankincense is good smelling powder made of sap of a tree. When it is burned, it makes a sweet smell. Because the Jews had to bring it from a distance, it was expensive.",incense,good smelling powder made of sap of a tree (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,furnace,kiln,fire (W);,A furnace is a place or large box with a very hot fire. It can be used to produce heat to warm an area or to make something. Bricks or pottery become hard when baked with a very hot fire. Metals such as silver or gold can be melted and purified with fire. A furnace can also be used to burn something. In some countries people burn the bodies of the dead.,,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Gadarenes,"Gadarene, Gadara, Gerasa, Gerasenes",,"Gadarenes refers to the people who live in the region of Gadara on the west side of Lake Galilee. Matthew used those names for the region and people, but Mark and Luke call the region Gerasa and the people who lived there Gerasenes. They were Gentile people and they raised and herded pigs. Jesus met two men there who were demon possessed and when he cast out the demons they went into a herd of pigs and the pigs rushed down the steep bank into the lake and died in the water. The people of the area were afraid of Jesus and wanted him to leave.",,,GC 08-Mar-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Galilee,,,Galilee was a region or province in the northern part of Israel on the west side of a very large lake called the Sea of Galilee. This lake has many fish.,,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Gehazi,,,Gehazi was a servant of the prophet Elisha. He once sinned by asking for a gift from a Syrian offcial whom Elisha had healed of leprosy.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,gentile,gentiles,"who is not a Jew (W); 
people who are not Jews (R); ","Gentiles are people who are not Jews. In Jesus' time, most Gentiles worshipped false gods and idols. In the New Testament it often is used to describe people who do not believe in or belong to God. Jesus' last command to his disciples before he returned to heaven was to go and make disciples for him of people in all the nations.","Jew, Hebrews","can be translated also with their nationality, e.g. Kenan/Greek… (Hilkka)","I am not aware of a figurative use of the term Gentile in the NT.         RR:  Perhaps generic sense is better than figurative.  Gentile is used for the category of ""sinner"" or unbeliever (even though all ethnic Gentiles are not unbelievers), as Jew is sometimes used in a generic sense for the category of ""belonging to God"" or ""believer"" (even though all ethnic Jews do not believe) e.g. Rev 2:9; 3:9
GC: Good!",rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Gibeah,"Gibeon, Gibeonites",,Gibeah was a pagan city in Canaan when Joshua and the Israelites were conquering the land. The Gibeonites deceived Joshua to make a peace pact with them.,,,Let the Bible tell the story.,07 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Gibeonites,"Gibeon, Gibeonite",,"The Gibeonites were Canaanites from the city of Gibeah. When Joshua and his army went to conquer the land of Canaan, they were afraid they would be killed. They went to Joshua to make peace with Israel, decieving him by pretending to be from a far away country. Joshua did not ask God who they were or what he should do, but made peace with them. They became servants of the Israelites.",,,GC 07-Feb-19,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Gideon,,,"Gideon lived around 1200 years before Jesus. He was a farmer, but God told him to lead a small army against a big enemy army. Then God made the big army afraid so that it ran away and the army of Isreal defeated them. He became the leader of the Israelites, called a judge, for 40 years. ",,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,glory,"glorified, glorify","light;
greatness;
praise (give glory to God);
strength and/or beauty (G);
allah (W); decoration/beauty (R);","Glory means (1) great power, (2) bright light, (3) beauty and (4) the presence of God.",,References to Allah/islam not helpful in PNG ,,,,,,,,,,,,,,,,,,,,,,,,,
t,goat,goats,deer-like animal with long hair (G); ,"Goats are gentle animals whose meat and milk people eat. Goats often dwell in same herds with sheep. Sheep tails hang downwards, whilst goat tails curl upwards. Adult male goats, called rams, will fight using their horns, and are a symbol for nations that go to war.","sheep, shepherd",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,God,Eternal God,"eternal one;
Creator; 
the God who lives / has lived forever (G); God (R); Allah (W);","God is the One Great, Eternal Spirit who created everything and all living creatures. God rules over heaven and earth. He has commanded everyone to abandon their gods and to worship only him. There is no other god as great as he. This One Great God came into the world as a human being, Jesus the Messiah.","Lord, idol, gods",Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,gold,golden,,Gold is a shiny metal that many countries use as money and use to make jewelry. The Israelite Ark of the Covenant was covered with shiny gold. Gold is mined from the earth.  To purify it requires heating it with a very hot fire until it melts and the dirt can be separated from it.,"silver, ",,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Gomorrah,,,Gomorrah was a city near Sodom where Abraham's nephew Lot chose to live. The population was so evil that God destroyed it with fire that fell from the sky (around 2000 years before Jesus lived).,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,good,,"good (G);
","People call ""good"" anything and anyone that they evaluate to be right, true, honest, kind or useful. To be ""just"" or ""right"" means to have a good standing with God or to follow his laws.","right, just",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,gospel,good news,"Good Report (W);
beautiful speech (G);good telling (R); 
 good talk (K);","The word ""gospel"" means good news. It is the message that God forgives sins and gives eternal life to all who repent and put their faith in Jesus. Jesus was the Son of God who died on a cross to take the punishment for the sin of everyone. He was buried, but rose back to life three days later.",,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,governor,,"ruling person (of a region);
chief (of the people in a country) (G);big leader from the government (R); kilifa (W from Arabic)",Governors are officials who rule over a region or part of a nation. Only a king has more power than a governor.,"king, leader
",arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,grace,gracious,"forgive; make good;
coming/falling onto (to help/aid/show mercy to someone);
and nobody pays for it (W);
pity and patience (for people) (G);love/pity (K); like (K)
","Grace is undeserved favor. It is the love that God has for us humans, by which he forgives us, rescues us from harm, helps us lead a better life, gives us power to serve him, and will bring us into his eternal kingdom.","forgive, mercy, love","also, make good (Hilkka) mod by CB",,,,,,,,,,,,,,,,,,,,,,,,,
t,grapes,grape,wine seeds (R); ,"Grapes are a kind of fruit that grow on a vine, not a tree. Their juice is used to make wine. The Jews used to plant many vines on their farms and cultivate them so that they would bear plenty of fruit.","grapevine, wine",reseng not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
n,Greece,Greek,,"Greece is a country in Europe. Athens and Corinth are cities in Greece. Around 350 years before Jesus, Greece conquered Israel and many other countries. The people in most of those countries learned to speak and read the Greek language. The New Testament books are written in Greek. Greek was the official language, even though it was not everybody’s mother tongue. ",,"Greek was language of scholars, not ordinary people's mother tongue (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,guilt,guilty,"the condition of having done something bad (G); 
that deseriving death (W);","Guilt is what someone has when they have violated or broken a law. A guilty person is someone who has done something wrong or broken a law. All people are guilty before God because they cannot keep his laws. The consequence of guilt is punishment, so all guilty people should be punished. Usually, a person who is guilty will feel shame.","forgive, shame, sanctify","this is an exception, very strong: that deserving death (W); (Hilkka)",GC 15-Feb-2019 mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
n,Hagar,,,"Hagar lived around 2000 years ago. She was a slave girl in the house of Sarah, Abraham's wife. Before Sarah had a child, she asked her husband Abraham to lie with Hagar, and Hagar bore a child who was named Ishmael. Hagar's son Ishmael became the father (ancestor) of the Ishmaelites.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,hail,,ice stones; frozen rain stones,Hail consists of frozen drops of water (ice) that fall from the sky like rain. It is hard frozen rain.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Haman,,,Haman was an official to King Ahasuerus of Persian. He was a descendent of the Amalekites who were enemies of the Jews. His story is in the book of Esther. He became very angry with a Jew named Mordecai. He made a policy so that Mordecai and the Jews would be killed. In the end he and his family were killed instead of the Jews.,,,GC 08-Mar-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Hannah,,,"Hannah was one of Elkanah's two wives. She had no child until she prayed to the Lord at Shiloh. She bore a son, named him Samuel and dedicated him to the Lord. Samuel became a prophet over Israel. (The name Hannah means ""grace"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Hanun,,,"Hanun was an Ammonite King who treated David's ambassadors very badly when they went to deliver a message to him. He shaved off half of each man's beard, cut off their robes at the buttocks, and sent them back to David in shame. ",,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
n,Haran,,,"Haran is a man's name and also the name of a city. Haran was the son of Terah. One of his brothers was Abram. One of his children was his son Lot. When he died, his father Terah went with his son Abram and Haran's son Lot to the city of Haran. A long time later there were two other men named Haran in the Bible.",,,GC 07-Feb-19,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,heaven,"heavens, sky","the Above;
sky;
way up high (G); heaven (R); ","Heaven is used in three ways. As part of the creation, it is the space above the ground, including the air, the clouds and the sky. It also refers to where the planets, stars, and galaxies of the universe are. The last way is in relation to God, it is the place where God lives.",earth,try to separate heaven and sky; asaman not helpful in PNG,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Hebrews,"Hebrews, Jew, Jews, Jewish, Israelites","Jew-people; Jew-talk;
","Hebrews are descendants of Abraham, the people whom God chose to be his special nation. Hebrew also refers to the language they speak. The Hebrews later were called Israelites after God changed Jacob's name to Israel, and still later they were called Jews because many Israelites lived in Judah.","gentile, Israelite, Jew",,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
n,Hebron,,,"Hebron was a city in the land of Canaan. Abraham lived there a while when he first arrived in Canaan. When his wife Sarah  died, he bought a tomb there to bury her. His son Isaac and grandson Jacob also lived there for some time. Over 400 years later, their descendants, the Israelites, left Egypt and conquered the land of Canaan. The city of Hebron was in the territory that the people of the tribe of Judah settled. Almost 400 years later, David became king of Judah and lived at Hebron, before becoming king of all the tribes of Israel and moving to Jerusalem.",,,GC 19-Feb-2019,rewritten by Jim Boyer 3/24,,,,,,,,,,,,,,,,,,,,,,,
t,Herodians,Herodian,,Herodians were Jews who wanted king Herod to rule over Judea in place of the Roman governor. Some Herodians conspired/plotted with Pharisees to destroy Jesus.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,herd,"herds, flock",,"A herd is a group of animals, especially domesticated (not wild) animals with hoofs that people (shepherds) keep together and look after as livestock to support themselves.",shepherd; livestock,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Hermes,,,Hermes was a Greek god that served as a messenger for other gods. A Roman god like him was called Mercury.,,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Herod,,,"Herod is the family name of kings whom the Romans put in power over parts of Israel. Four of those kings were (1) Herod the Great in Judea, king during the time Jesus was a baby, (2) Herod Antipas in Galilee, who ruled during the time Jesus was preaching, (3) Herod Agrippa the First in Judea, who ruled after Jesus' resurrection and persecuted the early Christians and (4) Herod Agrippa the Second in Judea, who ruled during the time Paul was being held prisoner in Caesarea.",,,,rewritten by Jim Boyer 2024,,,,,,,,,,,,,,,,,,,,,,,
t,High Priest,Chief Priest,leader of the giving to God ones (R); head man of priests (U),"The High Priest, also called the Chief Priest, was the leader of all the priests. The High Priest was the only person permitted to go into the Most Holy Place in the Tabernacle or Temple where he would sacrifice to God for his own sins and the sins the people had done.",priest,other language: head man of priests (Urt),,,,,,,,,,,,,,,,,,,,,,,,,
t,holy,"holiness, holies, holiest","unique;
set apart / special / sacred; 
pure or having no sin/guilt/moral fault;
belonging to God (associated with God);
staying away from bad things/deeds (G);
Pure (W); belonging to God (R); clean (R); straight (k);","Holy means (1) pure, clean, (2) forgiven; (3) unique, different from others; set apart; dedicated or belonging to God, and (4) faithful to God. Jesus was called the Holy One, and God himself is called the Holy Spirit. The Bible calls Christians Saints, which means Holy people.","Holy Spirit, sin, sinful , saint",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Holy Spirit,"God's Spirit, Spirit of Jesus, Jesus' Spirit, God's Holy Spirit","God's Spirit;
God's breath;
the Attractive/Good Spirit (G);
Spirit of Jesus;
The Pure Breath (W); Straight Spirit (R); bright/perfect breath/wind (U)","The Holy Spirit is God. He is holy in that he is perfectly right, and a spirit that in not visible to human eyes. He was involved in creating the world. He gave people the ability to do special work. Jesus sent the Holy Spirit to live with those who believe in him as their counselor to help, lead and instruct them to live in God's ways.",spirit ,other language: bright/perfect breath/wind (urt),,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,honor,"honorable, honored","honor / speak well of (G); 
stay under authority / have first place / lift up/praise name of / make happy (U)t","To honor someone is to tell how great or good a person is, or to show respect for a person's age, wisdom or authority.","worship, praise, thank","other language: stay under authority (urt), have first place (urt), lift up/praise name of (urt), make happy (urt)",GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,horse,horses,,"A horse is a big, strong, fast running animal that a person can ride on. Horses are not easily frightened so they can be ridden in battles of war. They can be made to pull wagons and chariots, or to carry loads. Horses come in many sizes, but they are generally shorter than camels and bigger than donkeys. ",,,GC 15-Feb-2019 Mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
t,hosanna,,osaana (R); praise / be happy with (U);,"""Hosanna"" is a greeting that Jews used to shout to give honor to their king. It originates from a Biblical Hebrew phrase ""Pray, save us!"" It acknowledges the anticipated Messiah's role and is perceived as a plea for help. In Jesus' time ""Hosanna"" evolved beyond a cry for help to also signify a prayer for salvation, an invocation of blessing, an exclamation of praise, and a shout of celebration.",,"praise (urt), be happy with (urt)",modified by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
t,hyssop,,(little) tree called isop (K); ,"Hyssop is a kind of plant. Israel's priests used to dip a hyssop leaf into blood from a sacrificed animal, then sprinkle people or things with the blood to make them holy in the sight of God.",,"Hyssop is a shrub, not a tree.",,,,,,,,,,,,,,,,,,,,,,,,,
t,idol,"idols, gods","(carved/man-made) image worshipped by people;
image;
false god (G, K);
carving (W, R)","An idol is a created, visible image made to represent something not usually visible.  Some people carve idols from wood or from stone. They may believe that a god or a spirit comes and dwells in the idol, so they pray to the idol, supposing that the god will hear them. Objects or things that people desire more than they desire God can also be considered idols.","God,",,"False only in the sense that they are not Yahweh, the incomparable Creator. The spirits of gods do exist and pagans do pray to them.",Mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,incense,,"sticky substance whose smoke smells good (R); 
 powder cooked/burned and its smoke smells good and it is called insens (K)",Incense is made from the sap or parts of a tree that smell sweet when burned. Incense was used by the Jews for worship in the tabernacle and in the temple of God. People of other religions also burn incense while worsipping their gods.,frankincense,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,iron,,,"Iron is a strong metal useful to make tools, weapons, war carts or chariots (to be pulled by horses) and chains.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Isaac,,,"Isaac lived about 1900 years before Jesus. Isaac was the son that God promised to Abraham and Sarah. But Sarah could not have children, so she laughed when he heard God's promise.  When she gave birth to him, they named him Isaac, which means laughter. Later, when Isaac was a youth, Abraham almost killed him as a sacrifice to the Lord God, but God stopped him. Isaac married Rebekah and they had twin sons Esau and Jacob.",,,The spirit of Antichrist has promulgathed a false docrine that Abraham offered his bastard son Ishmael.,"mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
n,Isaiah,,,Isaiah was a prophet who lived around 800 years before Jesus. He gave counsel to the kings of Judah and he wrote the Book of Isaiah in which he made many predictions about the Messiah. Jesus fulfilled all the things that Isaiah wrote about him.,,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,Israel,"Israelite, Israelites",,"Israel is a name in the Bible used to refer to different people and places. It was first used by God's angel when he renamed Jacob, the grandson of Abraham, as Israel. Then his descendents became a nation that was called Israel, and those people are called Israelites. After 400 years in Egypt, they moved to the land of Canaan and lived there, so the territory became known as Israel. After King Solomon's death, the nation divided in two; the southern kingdom was known by the name of the tribe of Judah, and the northern kingdom was known as Israel. In our day, Israel is once again used as the name of the nation in that land.","Hebrew, Jew",,GC 23-Feb-2019,rewritten by Jim Boyer 3/24,,,,,,,,,,,,,,,,,,,,,,,
n,Jabin,,,"Jabin was a Canaanite king who lived in Hazor. The commander of his army was Sisera, who cruelly oppressed the Israelites for twenty years. After the Israelites prayed to the Lord, they defeated Jabin's army and killed him.",,,GC 07-Feb-19 mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
n,Jacob,,,"Jacob lived about 1850 years before Jesus. He was a son of Isaac and grandson of Abraham. After Jacob wrestled with an angel from God, the angel gave him a new name, Israel. Israel's twelve sons became the ancestors of the twelve tribes of Israel. Thus, the Israelites are sometimes called the House of Jacob.",Israel,,,,,,,,,,,,,,,,,,,,,,,,,,
