,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n,Ananias,,,Three men were named Ananias in the New Testament: (1) a man in the early church in Jerusalem who died when he lied to God; (2) a Christian in Damascus who baptized Saul; (3) and a high priest in Jerusalem who opposed Jesus' apostles. (The name Ananaias means the Lord Answers.),,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Andrew,,,Andrew was a brother of Peter. They both became part of Jesus' 12 apostles. (The name Andrew means manly.),,,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,angel,angels,"spirit messenger obedient to God (whom God sent);
leg/messenger person from God/above/heaven;
one from God's living place (G);
ensel (K); God's helper (P); malaka (W from arabic)","Angel is a Greek word that means messenger. An angel is a spirit being who serves God. When God sends a spirit with a message for humans, it can appear to be a human being and speak a human language. Evil spirits sometimes appear as angels.  When people die, they do not become an angel.","demon,
prophet",arabic ref.,"Angels remain not a kind of creature, but a job description.
JB/CB disagree, thinking of them as spirit beings created by God. ",rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,anoint,"anoints, anointed","to pour olive oil on one to make him king, chief, true chief (G);
",To anoint means to appoint or choose or designate someone publically by pouring oil on them.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Apollos,,,"Apollos was a Jew from Alexandria, Egypt. As a man who spoke eloquently, he was competent in understanding the meaning of the Hebrew Scriptures, so was able to teach Chirstians in Greek-speaking cities.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,apostle,apostles,"sent one/person;
one that Christ sends (G);
runner (W);
person for sending from a place (person sent on a mission) (D);
Christian leader chosen by God;
first Christian leaders; 
aapostolo (R)","Apostle is a Greek word that means 'sent with authority''. God sent Jesus into the world as his Apostle. Jesus chose 12 apostles whom he sent to tell others about him. Churches also sent men and women, called apostles, to start new churches.","angel,
disciple,
prophet",,"Here is not the place to argue for or against Mattias, nor whether Paul be the real 12th apostle. Interestingly, in Acts 13, it was elders who sent apostles, and in 14 apostles who appointed elders. So it would seem problematic to argue for either kind of worker to have more authority than another. ",,,,,,,,,,,,,,,,,,,,,,,,
n,Aquila,,,"Aquila was husband of Priscilla. They were Jews from Rome who helped Paul to plant churches in Greece and in Syria. (The name Aquila means ""eagle"".)",Priscilla,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Areopagus ,,"place of meeting which is called Areoopagus (K);
meeting place called Areopugas (P);","Areopagus is the name of a hill in Athens, Greece. Teachers and city leaders used to meet on that hill. Their meeting was also called Areopagus.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,ark of the Covenant,"Covenant Box, Covenant Chest, Testimony Box","box of agreement (W);
box of agreement (tying) (R);
box for covenant/promise;
covenant box; 
sacred chest; the box in which the first writing of the power was kept (P);","The Ark of the Covenant represented the presence of God for the people of Israel. It was a wooden box or chest covered with gold. The figures of two angels were on the top of it. Inside it were the stone tablets upon which God wrote his Ten Commandments when he made a covenant or agreement with Israel. This chest was kept in the Tabernacle, and later in the Temple, in the inner-most room known as the Holy of Holies.",,"I would rather not use present tense, as then people would assume that the box is to be seen somewhere. If the article proves to be true, maybe then ok. But as Jesus made a new covenant with us, arc of the Covenant should not be emphasized.  (Hilkka)","Just today, a news article appeared, reporting that the Ark of the Covenant may actually reside in the Church of Saint Mary at Axum, Ethiopia. Since the ark was never reported to have been destroyed, we can speak of it in the present tense.",,,,,,,,,,,,,,,,,,,,,,,,
n,Artaxerxes,,,Artaxerxes was the 6th king of the Persian Empire 465-424 BC. He was grandson of Darius and son of Xerxes. (The name Artaxerxes means He rules with truth.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Artemis,,,"Artemis, also called Diana, is the name of an Greek and Roman goddess whose idol many people worshipped in a province called Asia.",Diana,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Asaph,Asaf,,There were three men named Asaph in the Bible: One was Berachiah’s son whom King David chose to lead worship. This Asaph authored Psalms 50 and 73-83. His name means “gather”.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Asenath,,,"Two women were named Asenath. One was Joseph's Egyptian wife, and the other was Jacob's daughter Dina's daughter.",,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ashtoreth,,,"Ashtoreth was a carved idol used to worship a goddess (female god/deity) named Astart in pagan countries. Some Israelites sinned against the Lord by making Ashtoreth idols, which they often set along side idols of a god (male deity) named Ba'al. ",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,assembly,"gathering, assemblies, assembling","gathering together of (G);
","Wherever Christians come together to honor Jesus and show love one to another, they form a temporary gathering or a permanent assembly.","saints, church",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Assyria,"Assyrian, Assyrians",,Assyria was a powerful nation that invaded northern Israel in the year 738 before Christ. Assyrian soldiers treated their enemies cruelly.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Athaliah,,,"Athalia was an evil queen who tried to kill Joash and stop him from being king.  She was daughter or grand-daughter of King Omri. She married king Jehoram of Judah. After he died, she tried to murder all of his sons.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Athens,Athenians,,Athens was the largest city of ancient Greece. Athenians are people who live in or are from Athens.  The city was a place known for higher education and idol worship. The apostle Paul visited there on one of his missionary journeys (Acts 17),,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Baal ,"baals, Ba'al",,"Baal is the name of an evil god at whose idol many nations used to worship. God sometimes had to punish the Israelites, after they would forsake him to worship Baal.","Ba'al, Beelzebul",,"Ba'al is very well known in cuneiform texts, a kind of international deity with many local idols.",,,,,,,,,,,,,,,,,,,,,,,,
n,Babylon ,"Babylonian, Babylonians, Babylon's",,"Babylon is the name of an ancient city, founded about 3000 years before Jesus. She became a very powerful nation and the kings of Babylon conquered many other countries. When the Babylonian army captured Israel, they took many Israelites to dwell in Babylon for seventy years. The people of this nation acted very badly and disobeyed and rebelled against God. Therefore, the name is sometimes used symbolically to refer to an evil place, as Peter called Rome ""Babylon."" It can also refer to a place that God will destroy in the future, just as He destroyed the historical city. In the book of Revelation, Babylon will be completely destroyed.",,,"Actually, 70 years serving the kings of Babylon, part of which was spent in captivity.",rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Balaam ,,,"Balaam lived around 1500 years before Jesus. Balaam was a pagan prophet who, to get money, pretended to speak for God. God ordered the Israelites to kill Balaam.  One time God spoke to Balaam through his donkey.",,,"In that era, pagan prophets not only spoke for the gods, but were believed to have persuasive power over gods. Thus, Balaam sold his services as one who could manipulate Yahweh.",,,,,,,,,,,,,,,,,,,,,,,,
t,baptize,"baptism, baptized, baptizes, baptizer","to pass (a person) under/through water (D);
dip in water (W);
(to symbolize death to an old life and the start of a new life);
initiate / initiation;
cause to have oneself bathed (becoming followers of Jesus the True Chief)(G);
baptais (K);",Baptize is a Greek word that means to wash in water or to dip in water. Jews and some pagans baptize as part of their worship. John baptized Jews who were waiting for Messiah to come. Jesus commanded his apostles to go make disciples by baptizing and teaching them. Christians baptize those who put their trust in Jesus.,,,"A symbolic initiation in/with water that Jesus commanded for those who repent of their sins to become Christians. There are many ways in which to baptize. To dip under/ bury in water and bring back up/out to signify death to old life and resurrected to new life, a new identity. There are a series of baptisms in the Bible: God brought Noah through the water to start a new life after the judgment flood. God (via Moses) rescused Israel from their slavery in Egypt and brought them through the water of the big sea to start a new life trusting him in the wilderness. God (via Joshua) led the new generation of Israel through the Jordan River to begin a new life obeying God in a new land. John dipped people in the waters of the Jordan River who were repenting from their sins and getting prepared for Kingdom life. Jesus went down into the waters of the Jordan River to be baptized by John and came out the other side to go into the wilderness for 40 days to show that he was re-playing Israel as the new Israel but doing it rightly, faithfully, in full obedience to God. Jesus commanded people who believe in him to be put under water to show that they have died and been buried to their old life of rebelling against God and have been raised up to a new life with a new identity as God's children.",,,,,,,,,,,,,,,,,,,,,,,,
n,Barabbas,,,"Barabbas was the name of the criminal whom Pilate freed when the Jewish crowd was demanding Jesus' death. Interestingly, Bar-Abbas meaning ""son of the father"" was set free while Jesus the Son of Father God was crucified.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Barak ,,,"Barak was the fourth judge in Israel, before they had kings. Barak led the Israelites in war, defeating their enemies.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,barley ,,"grain;
baali (R)","Barley is a kind of grain like wheat. Poor folk used to make bread with Barley, because barley costed less than wheat.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Barnabas,,,"Barnabas was one of the first Christians at Jerusalem. He brought Paul to meet the first apostles, and he later brought Paul to Antioch (in Syria) to make disciples. He and Paul also went together on mission to start new churches of new believers. (The name Barnabas means Son of Encouragement).",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Bathsheba,,,"Bathsheba was the beautiful wife of Uriah, a soldier in king David's army. She once took a bath outside where king David saw her bathing. Later they slept together. David caused Uriah to die in battle, then married Bathsheba. God punished David for his sins and caused his first child with Bathsheba to die. Bathsheba's son Solomon became king after David. (The name Bathsheba means Daughter of Promise or Oath.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,bear ,,wild animals … bea (R),"A bear is a very large, strong, hairy beast that dwells in forests. Bears are dangerous, have sharp teeth and long claws, can climb trees, and can kill people. Bears eat almost anything. When an adult bear stands up on two legs, it is taller than a man.",lion,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Beelzebul,,,Beelzebul is another name for the evil god Baal. Some folk believe him to be chief over evil spirits.,Baal,,,,,,,,,,,,,,,,,,,,,,,,,,
t,beer,,"fermented manioc juice, any drink that causes drunkenness (G);
",Beer is a drink made from cooked grains which contains a small amount of alcohol. ,"wine, strong drink",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Beersheba,"Be'er-sheva, Beersheva, ",,Beersheba was a water well and eventually a city in ancient Israel. Beersheba marked the southernmost boundary of cultivated land in Israel. It is the place where Abraham made a treaty with the Philistine king Abimelech. Be’er-sheva or Beersheba means “treaty well”.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Belshazzar,,,Belshazzar was the last king of Babylon. He died in 539 BC when the Persians conquered Babylon. (The name Belshazzar means the god Bel preserves the king.),,,GC 08-Mar-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Benjamin ,,,"Benjamin lived around 2000 years before Jesus. Benjamin was the youngest of Jacob's twelve sons. Thus, Benjamin was the ancestor of one of the twelve tribes of the Israelites.",,,The term Jew (Judean) does not appear in the Hebrew Scripture until the time of the Babylonian captivity.,,,,,,,,,,,,,,,,,,,,,,,,
n,Bethel,,,"Bethel is the name of a city in the central part of the land of Israel, originally called Luz. The book of Genesis tells of Jacob meeting God near that town, so he renamed that place Bethel, which means God's house.",,,GC 07-Feb-19,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Bethlehem,,,"Bethlehem is the name of a city a few kilometers south of Jerusalem in the region that was known as Judah. King David and his ancestors lived there, and Jesus was born there. (The name Bethlehem means house of bread.)",,,GC 07-Feb-19,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,Bible,,"the Word of God (G); Paper of God (W)
","The Holy Bible is God's message to people. It is a collection of several books and letters written by over several thousand years. Many different people wrote parts, but they were all inspired and led by God's Spirit what to write. It is organized into two parts, the Old Testament and the New Testament. The Old Testament contains the history of God's relationship with the people of Israel. The New Testament tells the history of Jesus Christ and the teachings of his followers.","scroll, book",,GC 08-Feb-19,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,blaspheme,"blasphemy, blasphemed, blaspheming, blasphemer",,"1. A bad, ungodly utterance or action concerning God or sacred things. 2. An act of cursing or dishonoring God. 3. The crime of assuming to oneself the rights or qualities of God. When Jesus presented himself to Israel as their awaited Messiah, some religious leaders accused him of blasphemy.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,bless,"blessing, blessed, blesses, blest","(1) calling God's good onto (someone);
(2) coming/falling on (coming to someone's aid/help/support or showing grace to someone);
speak well / to say good things about (G); cause-blessed/fortunate (R); barke (W from Arabic)","To bless means (1) to speak kind words to others, (2) to wish good to happen to them, (3) to do good to them, or (4) to give good things to them. God blesses us, and we bless others. To bless God is to praise him.",curse,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,blood,,"blood (G);
","Blood is the crimson fluid in people and animals. Without it the creature dies. Blood can also be used in a figurative way meaning a violent death or murder. The saying ""Blood on one's hands"" means guilty of murder.  Blood is also used to refer to Jesus' death on a cross. His blood has a spiritual effect of forgiving our sin. ","death, sacrifice",,Blood remains a powerful symbol of Jesus' sacrificial death. Translators must decide if the symbol should be retained or replaced with its meaning.,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,boat,"dingy, canoe","kanu (transliterated from canoe) (G);
",A boat is a generic term for floating water vehicle used for transporting people and cargo.  Most boats are made from wood.  A ship is a very large boat.  A dingy is a small boat carried in a big boat or pulled behind a big ship.  ,ship,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Boaz,,,"Boaz was a wealthy Israelite farmer who allowed the poor to glean grain that his harvesters left behind. He was a relative of Naomi's dead husband, so he married Ruth, Naomi's widowed daughter-in-law. Thus, he became an ancestor of King David and of Jesus.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,book,books,"paper (G, W);
","Books are leaves or sheets of paper or parchment fastened together on one edge. Scrolls are rolls of a long sheet of paper, animal skin or papyrus that readers must unroll. Book can mean a part of the Bible that has a name or title, such as Book of Isaiah. Book is also a symbol of God's memory.","scroll, Bible",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,bread,,"that which we eat / our food (tapioca, pancake) (G);
sago (PNG);","Bread is a kind of food made from ground grains, baked till dry, that may contain yeast to make it soft. If bread does not contain yeast it has a hard or crisp texture. Bread is a basic food throughout the world that people eat every day. God sent something like bread called manna to the Israelites after they left Egypt while they were in the wilderness. Jesus described himself as the ""bread of life"", because he gives eternal life to those who trust in him.",manna,,"GC 15-Feb-2019
RR added some content.  OK?

GC 23-Feb-2019
A little wordy? Maybe drop the part about Bethlehem and include:

... Jesus was called the ""Bread of Life,"" because he gives eternal life to those who trust in him.

Manna has its own entry.",rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,brimstone,sulfur,salfa (K),"Brimstone is fiery material like lava from a volcano. It is an old word which refers to sulfur. Sulfur is an element from the earth which is yellow and has a bad odor. When it burns it melts and its fire is hot and blue colored. God will make brimstone to fall from the sky to the ground. In the end times, unsaved people will suffer in a fiery lake of burning sulfur.",,like lava from volcano,GC 29-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,bronze,brass,"redish metal (hard rock) (G);
","Bronze is a hard, shiny metal made from a mixture of copper and tin. In biblical times, some tools, weapons and jewelry were made of bronze. In Moses' time, God commanded him to make a bronze serpent. In the book of Revelation, John saw a statue that appeared to be a son of man who had feet of bronze.",,,modified by CB - brass is not the same as bronze. I added occurrences of bronze in the OT and NT.,,,,,,,,,,,,,,,,,,,,,,,,
t,build,"builder, built",make (G);,"To build something means to make it bigger or better. To build a house means to make a new one, piece by piece. To build a person is to say something that helps them learn and encourages them to be a better person.","create, form, carve",,GC 23-Feb-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Caesar ,"King, Pharaoh, Emperor",,"Caesar was the title that the Romans gave to their highest ruler (instead of calling them ""king"" or ""president""). Each Caesar was the emperor or ruler over all the territories that Rome conquered.","king, Pharaoh, Emperor",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Caesarea,,,"There were two towns called Caesarea, both named in honor of the Roman emperors who were called Caesar, as the name means King's Town. One was on the Mediterranean Sea coast to the northwest of Jerusalem. It was built by the Romans. The other, known as Caesarea Philippi, was located north of the Sea of Galilee and was built by King Herod.",,,GC 08-Feb-2019   modified by CB 2024,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Cain ,,,"Around 4000 years before Jesus, Adam's and Eve's first two sons were named Cain and Abel. Cain was a farmer who gave an offering of his crops to God. However, God was not pleased with it and he favored Abel's offering over Cain's. Because Cain did not honour God correctly, God reproved him. So Cain grew angry and killed his brother Abel.","Abel, Adam, Eve",,modified by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
n,Caleb,,,"Caleb was one of the twelve spies whom Moses sent to observe the land of Canaan, the land Promised to Abraham, Isaac and Jacob. He and Joshua were the only two spies that believed the Israelites could conquer the Canaanites. God rewarded these two men for their faith and their bravery in battle.",,,"Caleb means dog, that is, faithful companion.  CB added more explanation to Canaan",,,,,,,,,,,,,,,,,,,,,,,,
t,camel,camels,"kamel-animal; kamel (K); gimel (W from Arabic)
","Camels are large pack animals, taller than horses and donkeys. They can carry heavy loads and people can ride on them. Camel hair can be used to make a rough cloth. ","donkey, horse",arabic ref.,modified by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
n,Canaan ,"Canaanite, Canaanites",,"Canaan was the name of the land that God promised he would give to the people of Israel to be their homeland. Much of Canaan became the land of Israel. Today, part of Canaan is called Palestine.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,carnelian ,,jewel; konilian (K)' precious stone (W),"Carnelian is a kind of rare, reddish-coloured stone. It is mentioned in Revelation 4:3.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,carve,"carver, carves, carved","cut-cut wood carefully to make something (G);
",To carve something means to cut it with tools in the form of something else. Men carve idols from stone or wood.,"create, build, ",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,cast lots,"throw dice, draw lots",,A way of choosing someone in a group to perform a task after no one has volunteered for that task.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,centurion,centurions,"chief of soldiers (G); battle leader (W)
","A centurian was a Roman military officer who commanded up to 100 soldiers. Cente or century means ""100"" in some languages.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,chains,chain,tied up (G);,Chains are like a rope made from strong metal circles that are linked together. Sometimes chains were used to bind or restrain dangerous people like criminals and demoniacs.,"prison, rope","Do you need this as chains are used for other purposes, too?: Men used chains to bind criminals and demoniacs.",GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,chariot,chariots,"chariot (transliterated) (G);
","In Old and New Testament times, a chariot was a two-wheeled horse-drawn vehicle used in ancient wars and races. Kings and important officials traveled in chariots.",horses,,GC 07-Feb-19  modified by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
t,cherub,"cherubs, cherubim",,"There are two kinds of cherub: (1) Statues having wings, such as those atop the Ark of the Covenant. (2) Spirits that guard the throne of God in heaven. ",angel,,GC 07-Feb-19 A babylonian word employed by exhilic prophets.,,,,,,,,,,,,,,,,,,,,,,,,
t,Christ,"anointed, Messiah",al-Masih (W),"Christ is not a name. Christ is a Greek word, and Messiah is the same word in Hebrew. Both words mean 'anointed' or ‘chosen’. Christ or Messiah is what ancient Israelites often called their kings. In the OT it is one of many titles given to a great king who would one day be born as a descendent of King David. In the NT, the Christ or the Messiah is a title applied only to Jesus. In general, followers of Christ use the term ""Christ"" as a name without translating its meaning. In some verses ""the Christ"" may be translated as ""the King whom God promised would come one day"".",,arabic ref.,modified by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
t,Christian,"Christians, believer, believers","group of those who believe (Jesus);
Christ-followers; Christ’s one (R)
those who follow al-Masih (W)","Christian literally means ""little Christ"", or ""Christ follower"", those who follow Christ's example and teachings.  
The Bible describes Christians in many ways. They are 'saints', that is, holy ones, those who belong to God. They are 'believers', that is, those who have faith in Jesus. They are 'disciples', that is, those who obey Jesus' commandments. They are 'brothers and sisters', that is, those who love one another. And they are the  'church', that is, those who worship together.","saints, disciples, believer, apostle",arabic ref.,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,church,Church,"Gathering of believers (W); people of faith (R); people of worship (K)
","The word ""church"" is used in many ways. Many people only think of it as the building where people meet to worship God. It also means the group of people who believe in God who meet at that building. It also means several groups that are in an association, many times referred to as a denomination. Another way it is used is to refer to all the believers in God in a certain city, region or country. Finally, it also means all the believers in God in the whole world; they are also called the ""body of Christ.""","saints, assembly",,"No ! Never a building. And capital letters mean nothing in many of the world's scripts. Whilst some of Israel become members of the church, the church has never become Israel. ",rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,cinnamon,,sinamon (R); kinamon (K);,"Cinnamon is a fragrent spice made from the bark of a certain kind of a tree. It was mixed with oil that was used to anoint kings, or to prepare bodies for burial.",,,,,,,,,,,,,,,,,,,,,,,,,,,
